AAV2020;LOG_SOCIAUX;LOG_TOTAL;PCT_SOCIAUX
030;19310.94262;284368.3981;6.79
228;1171.09163;17266.04792;6.78
475;349.96811;5219.2739;6.71
553;269.65482;4016.71999;6.71
211;2492.05757;37200.65469;6.7
330;830.02469;12406.976;6.69
179;2249.10153;33681.78921;6.68
259;1091.39142;16379.93387;6.66
465;386.06657;5825.08239;6.63
365;655.49184;9894.64373;6.62
081;4718.66732;71539.57802;6.6
345;685.42895;10475.68093;6.54
272;1016.88196;15538.40326;6.54
225;1364.38239;20882.16278;6.53
250;1033.02634;15878.47195;6.51
608;508.01371;7800.19945;6.51
535;308.95191;4755.12905;6.5
441;446.57868;6883.23887;6.49
060;8087.45637;124526.15385;6.49
